id,model,loại,tên case,input,expected,actual,kết quả,ghi chú
TC-ML01-11,ML01,Ca biên,"Biên savings_months = 3,0 đúng bằng ngưỡng","thu nhập/tháng=20,000,000 · chi tiêu/tháng=10,000,000 · trả nợ/tháng=0 · tiết kiệm=30,000,000 · tuổi=38 · hộ/con=4/2 · savings_months=3.0 · dti=0.0 · savings_rate=0.5",GROWTH,BUILD_BUFFER (p=0.757),FAIL,"`< 3` sai và sr = 0,5 ≥ 0,10 → GROWTH ⟶ NGUYÊN NHÂN: sai lệch sát biên (g(·) cũ cũng cho GROWTH, model vẫn trượt)"
TC-ML01-12,ML01,Quy tắc phân xử,"Vừa thâm hụt vừa DTI 0,45 → lấy nhãn nặng nhất","thu nhập/tháng=20,000,000 · chi tiêu/tháng=12,000,000 · trả nợ/tháng=9,000,000 · tiết kiệm=50,000,000 · tuổi=38 · hộ/con=4/2 · savings_months=4.167 · dti=0.45 · savings_rate=-0.05",EMERGENCY,DEBT_FOCUS (p=0.878),FAIL,"Thỏa cả EMERGENCY lẫn DEBT_FOCUS → `g(·)` đơn trị, chọn EMERGENCY ⟶ NGUYÊN NHÂN: nhãn model khớp `g(·)` CŨ (DEBT_FOCUS) — artifact train 14/08 chưa cập nhật định nghĩa savings_rate"
TC-ML01-13,ML01,Ca cực trị,"Không nợ, không tiết kiệm, thu ≈ chi","thu nhập/tháng=12,000,000 · chi tiêu/tháng=11,000,000 · trả nợ/tháng=0 · tiết kiệm=0 · tuổi=38 · hộ/con=3/1 · savings_months=0.0 · dti=0.0 · savings_rate=0.0833",EMERGENCY,EMERGENCY (p=0.978),PASS,savings_months = 0 → EMERGENCY dù dòng tiền vẫn dương
TC-ML01-14,ML01,Hợp đồng,"Thiếu năm sinh → từ chối dự đoán, không đoán bừa","thu nhập/tháng=30,000,000 · chi tiêu/tháng=15,000,000 · tiết kiệm=90,000,000 · birth_year=KHÔNG KHAI",available=False · reason_code=missing_input,available=False · reason_code=missing_input,PASS,Điền tuổi mặc định thì model vẫn trả một nhóm trông hợp lý — §6.1c cấm
TC-ML01-15,ML01,Hợp đồng,"Hợp đồng xác suất: 4 lớp, tổng = 1, nhãn = argmax","thu nhập/tháng=28,000,000 · chi tiêu/tháng=16,000,000 · trả nợ/tháng=3,000,000 · tiết kiệm=60,000,000 · tuổi=38 · hộ/con=4/2 · savings_months=3.75 · dti=0.1071 · savings_rate=0.3214","n_lớp=4 · tổng=1,000000 · nhãn=argmax · mọi p ∈ [0,1]",n_lớp=4 · tổng=1.000000 · nhãn=GROWTH · argmax=GROWTH,PASS,
TC-ML02-01,ML02,Biên độ,Hồ sơ vay an toàn rõ rệt → LOW_RISK,"thu nhập/tháng=60,000,000 · tiền vay=800,000,000 · trả nợ vay/tháng=6,000,000 · giá tài sản=2,500,000,000 · tuổi/thâm niên=42/15.0 · số khoản đã vay=2 · trả chậm / quá hạn=0 / không · DTI khoản vay=6/60 = 0,10 · LTV=800/2.500 = 0,32",LOW_RISK,LOW_RISK (P(vỡ nợ)=0.0527),PASS,"Thu nhập cao · DTI 0,10 · thâm niên 15 năm · không quá hạn"
TC-ML02-02,ML02,Biên độ,Hồ sơ vay rủi ro rõ rệt → HIGH_RISK,"thu nhập/tháng=12,000,000 · tiền vay=1,500,000,000 · trả nợ vay/tháng=12,000,000 · giá tài sản=1,600,000,000 · tuổi/thâm niên=23/0.5 · số khoản đã vay=6 · trả chậm / quá hạn=4 / có · DTI khoản vay=12/12 = 1,00 · nợ quá hạn=80.000.000",HIGH_RISK,LOW_RISK (P(vỡ nợ)=0.0250),FAIL,"DTI 1,00 · thâm niên 6 tháng · 4 khoản trả chậm · đang có nợ quá hạn"
TC-ML02-03,ML02,Hợp đồng,"Hợp đồng xác suất: 2 lớp, tổng = 1, p ∈ [0,1]","thu nhập/tháng=40,000,000 · tiền vay=1,200,000,000 · trả nợ vay/tháng=10,000,000 · giá tài sản=1,800,000,000 · tuổi/thâm niên=38/10.0 · số khoản đã vay=2 · trả chậm / quá hạn=0 / không","2 lớp [LOW_RISK, HIGH_RISK] · tổng=1,000000 · p ∈ [0,1]","2 lớp ['LOW_RISK', 'HIGH_RISK'] · tổng=1.000000",PASS,"Cột 1 phải là HIGH_RISK — đảo cột là lỗi im lặng, model vẫn chạy"
TC-ML02-04,ML02,Hợp đồng,"Ngưỡng nghiệp vụ 0,1303 được áp (KHÔNG dùng 0,5)","thu nhập/tháng=18,000,000 · tiền vay=1,000,000,000 · trả nợ vay/tháng=9,000,000 · giá tài sản=1,300,000,000 · tuổi/thâm niên=29/2.0 · số khoản đã vay=3 · trả chậm / quá hạn=1 / không · ngưỡng artifact=0.130291",ngưỡng=0.130291 · nhãn cắt tại ngưỡng đó,"ngưỡng=0.130291 · P=0.0774 → LOW_RISK (nếu dùng 0,5 thì ra LOW_RISK)",PASS,"Tỉ lệ nền 8,07% nên ngưỡng 0,5 xếp gần như mọi hồ sơ vào LOW_RISK"
TC-ML02-05,ML02,Bất biến,Bất biến đơn vị tiền: nhân ×1000 không đổi kết quả,"gốc=thu 40tr · vay 1,2 tỷ · trả 10tr/tháng · ×1000=thu 40 tỷ · vay 1.200 tỷ · trả 10 tỷ/tháng","P(gốc) = P(×1000), cùng nhãn",P(gốc)=0.0249999985 · P(×1000)=0.0249999985 · |Δ|=0.00e+00,PASS,Mệnh đề §2.1: mọi feature tiền của ML02 là TỈ LỆ nên bất biến đơn vị
TC-ML02-06,ML02,Đơn điệu,Đơn điệu theo DTI: trả nợ 5tr → 20tr,"A (xấu hơn)=trả 20.000.000/tháng (DTI 0,50) · B (tốt hơn)=trả 5.000.000/tháng (DTI 0,125)",P(A) ≥ P(B),P(A)=0.0379 [LOW_RISK] · P(B)=0.0379 [LOW_RISK] · chênh +0.0000,PASS,Chỉ đổi `monthly_payment`; DTI là feature quan trọng nhất của bộ rút gọn
TC-ML02-07,ML02,Đơn điệu,Đơn điệu theo số tiền vay: 500tr → 2 tỷ,"A (xấu hơn)=vay 2.000.000.000 (credit_income_ratio 4,17) · B (tốt hơn)=vay 500.000.000 (credit_income_ratio 1,04)",P(A) ≥ P(B),P(A)=0.0954 [LOW_RISK] · P(B)=0.0774 [LOW_RISK] · chênh +0.0180,PASS,Chỉ đổi `loan_amount` → `credit_income_ratio`: số năm thu nhập để trả hết
TC-ML02-08,ML02,Đơn điệu,Nợ quá hạn làm tăng rủi ro,"A (xấu hơn)=có nợ quá hạn 60.000.000, 2 khoản trả chậm · B (tốt hơn)=không nợ quá hạn, 0 khoản trả chậm",P(A) ≥ P(B),P(A)=0.0204 [LOW_RISK] · P(B)=0.0250 [LOW_RISK] · chênh -0.0046,FAIL,"Mục C của form → nhóm feature bureau, 3/5 feature mạnh nhất (task 13)"
TC-ML02-09,ML02,Đơn điệu,"Thâm niên làm việc: 0,5 năm vs 15 năm","A (xấu hơn)=đi làm 0,5 năm · B (tốt hơn)=đi làm 15 năm",P(A) ≥ P(B),P(A)=0.0558 [LOW_RISK] · P(B)=0.0250 [LOW_RISK] · chênh +0.0308,PASS,`employment_years` + `employment_ratio` — 2/7 feature bộ rút gọn
TC-ML02-10,ML02,Hợp đồng,Không khai khoản vay → không trả xác suất vỡ nợ,financial_needs=saving (không phải home_loan) · loan_application=KHÔNG CÓ,available=False · reason_code=missing_input,available=False · reason_code=missing_input,PASS,§4.1: đưa 'xác suất vỡ nợ 8%' cho người không định vay là số vô nghĩa
TC-ML02-11,ML02,Ca cực trị,Chưa từng vay bao giờ (bureau_no_record = 1),"thu nhập/tháng=40,000,000 · tiền vay=1,200,000,000 · trả nợ vay/tháng=10,000,000 · giá tài sản=1,800,000,000 · tuổi/thâm niên=38/10.0 · số khoản đã vay=0 · trả chậm / quá hạn=0 / không · previous_loan_count=0","chạy được · p ∈ [0,1] (không rơi vào nhánh thiếu dữ liệu)",available=True · P=0.0250 → LOW_RISK,PASS,"Không có bản ghi bureau nghĩa là CHƯA TỪNG VAY → điền 0, không NaN"
TC-ML02-12,ML02,Ca cực trị,Trả chậm (5) nhiều hơn số khoản vay (2) → bị kẹp,"thu nhập/tháng=40,000,000 · tiền vay=1,200,000,000 · trả nợ vay/tháng=10,000,000 · giá tài sản=1,800,000,000 · tuổi/thâm niên=38/10.0 · số khoản đã vay=2 · trả chậm / quá hạn=5 / có","không lỗi · p ∈ [0,1] (adapter kẹp về min(5, 2) = 2)",available=True · P=0.0204 → LOW_RISK,PASS,Bureau không thể đếm số khoản quá hạn nhiều hơn tổng số khoản
TC-ML02-13,ML02,Ca cực trị,"Thu nhập ngoại lai 900tr/tháng → không vỡ, có kẹp biên","thu nhập/tháng=900,000,000 · tiền vay=1,200,000,000 · trả nợ vay/tháng=10,000,000 · giá tài sản=1,800,000,000 · tuổi/thâm niên=38/10.0 · số khoản đã vay=2 · trả chậm / quá hạn=0 / không","không crash · p ∈ [0,1]",available=True · P=0.0954 → LOW_RISK,PASS,"`OutlierClipper` kẹp về phân vị 99,9% của train thay vì đẩy model ra ngoài phân phối"
TC-ML02-14,ML02,Hợp đồng,Tái lập: chạy 2 lần cùng hồ sơ → cùng xác suất,"thu nhập/tháng=40,000,000 · tiền vay=1,200,000,000 · trả nợ vay/tháng=10,000,000 · giá tài sản=1,800,000,000 · tuổi/thâm niên=38/10.0 · số khoản đã vay=2 · trả chậm / quá hạn=0 / không","P(lần 1) = P(lần 2), chênh đúng 0",P₁=0.024999998510 · P₂=0.024999998510 · Δ=0.00e+00,PASS,"Điều kiện của F06 task 6 — inference phải xác định, seed 42"
TC-ML02-15,ML02,Đơn điệu,Số khoản trả chậm: 0 vs 5 (cùng 6 khoản đã vay),"A (xấu hơn)=6 khoản đã vay, 5 khoản trả chậm · B (tốt hơn)=6 khoản đã vay, 0 khoản trả chậm",P(A) ≥ P(B),P(A)=0.0204 [LOW_RISK] · P(B)=0.0250 [LOW_RISK] · chênh -0.0046,FAIL,"`bureau_overdue_loan_share` đi từ 0,83 xuống 0 — cùng số khoản nền"
